City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,ust-nera,64.5667,143.2,17.76,41,100,2.03,RU,1723867311
321,pucallpa,-8.3791,-74.5539,25.02,78,20,2.57,PE,1723867312
322,pont rouge,48.8833,-72.0825,18.67,86,70,3.29,CA,1723867314
323,amassoma,4.9692,6.1097,23.78,93,98,1.52,NG,1723867315
324,elko,41.0002,-115.5012,22.08,18,0,1.99,US,1723867316
325,taulaga,-11.0553,-171.0883,27.27,79,2,8.37,AS,1723867318
326,winnemucca,40.973,-117.7357,20.03,22,0,0.0,US,1723867321
327,lata,40.1629,-8.3327,16.23,76,3,1.66,PT,1723867322
328,pierre,44.3683,-100.351,22.14,70,0,3.6,US,1723867159
329,sorbhog,26.5,90.8667,30.75,71,100,2.24,IN,1723867327
330,pacasmayo,-7.4006,-79.5714,16.23,88,17,2.99,PE,1723867328
331,afaahiti,-17.75,-149.2833,23.28,86,96,10.13,PF,1723867329
332,samraong,12.4526,105.5873,29.91,79,95,2.1,KH,1723867331
333,pisco,-13.7,-76.2167,16.03,82,100,4.12,PE,1723867332
334,arno,60.1167,18.6333,11.9,77,26,4.29,SE,1723867334
335,ukmerge,55.25,24.75,17.5,92,34,1.42,LT,1723867335
336,vilyuysk,63.7553,121.6247,19.72,34,0,2.01,RU,1723867337
337,havre,49.5833,0.3333,17.22,82,100,3.6,FR,1723867338
338,igarka,67.4667,86.5833,13.59,95,100,4.29,RU,1723867339
339,cabo san lucas,22.8909,-109.9124,29.31,69,0,1.79,MX,1723867100
340,yanbu,24.0891,38.0637,31.02,84,20,2.06,SA,1723867342
341,bikenibeu village,1.3673,173.1241,31.98,66,20,3.09,KI,1723867344
342,taoudenni,22.6783,-3.9836,33.35,40,21,2.51,ML,1723867345
343,odienne,9.51,-7.5692,21.55,97,100,2.39,CI,1723867346
344,huanggang,23.677,116.9996,29.98,74,94,4.63,CN,1723867348
345,athens,37.9795,23.7162,29.78,46,0,5.36,GR,1723867213
346,chui,-33.6971,-53.4616,10.01,93,100,2.25,UY,1723867351
347,redencao,-4.2258,-38.7306,21.9,93,46,0.5,BR,1723867352
348,yenisehir,40.2644,29.6531,14.03,94,0,1.03,TR,1723867354
349,mil'kovo,55.6078,37.7956,15.08,63,100,2.9,RU,1723867355
350,bangui,4.3612,18.555,21.98,96,100,1.2,CF,1723867217
351,nzerekore,7.7562,-8.8179,20.9,99,100,1.63,GN,1723867358
352,stornoway,58.2093,-6.3865,11.98,91,40,4.63,GB,1723867359
353,gvardeysk,54.6477,21.0651,18.37,87,49,2.39,RU,1723867361
354,la sarre,48.8002,-79.1996,18.31,74,100,1.45,CA,1723867362
355,taybad,34.74,60.7756,28.29,18,0,8.51,IR,1723867363
356,tianfu,37.1936,122.0511,32.03,60,16,1.74,CN,1723867365
357,praia da vitoria,38.7333,-27.0667,23.2,94,20,2.35,PT,1723867366
358,kulhudhuffushi,6.6221,73.07,26.8,81,100,12.29,MV,1723867368
359,al wafrah,28.6392,47.9306,38.45,14,0,4.49,KW,1723867369
360,freetown,8.484,-13.2299,24.84,88,75,5.66,SL,1723867371
361,loch garman,52.3342,-6.4575,14.38,99,0,3.13,IE,1723867373
